Date,Last Price,
30/11/2025,2.79118,
30/09/2025,2.82507,
30/06/2025,2.80737,
31/03/2025,2.67029,
31/12/2024,2.98859,
30/09/2024,2.83863,
28/06/2024,2.75316,
29/03/2024,3.12217,
29/12/2023,3.11239,
29/09/2023,3.68777,
30/06/2023,4.38379,
31/03/2023,4.78329,
30/12/2022,4.96689,
30/09/2022,5.60648,
30/06/2022,5.31569,
31/03/2022,5.59322,
31/12/2021,5.21455,
30/09/2021,4.01385,
30/06/2021,3.86171,
31/03/2021,2.19913,
31/12/2020,1.5088,
30/09/2020,1.47969,
30/06/2020,0.97046,
31/03/2020,1.5273,
31/12/2019,1.54475,
30/09/2019,1.63201,
28/06/2019,1.65698,
29/03/2019,1.61607,
31/12/2018,2.03808,
28/09/2018,1.9603,
29/06/2018,1.93623,
30/03/2018,1.90918,
29/12/2017,1.57687,
29/09/2017,1.42259,
30/06/2017,1.57644,
31/03/2017,1.67865,
30/12/2016,1.77009,
30/09/2016,1.68526,
30/06/2016,1.5524,
31/03/2016,1.45745,
31/12/2015,1.1917,
30/09/2015,1.23212,
30/06/2015,1.25416,
31/03/2015,1.28084,
31/12/2014,1.35635,
30/09/2014,1.55485,
30/06/2014,1.56354,
31/03/2014,1.44742,
31/12/2013,1.54736,
30/09/2013,1.52922,
28/06/2013,1.46365,
29/03/2013,1.48074,
31/12/2012,1.68987,
28/09/2012,1.69161,
29/06/2012,1.81925,
30/03/2012,2.04485,
30/12/2011,1.97496,
30/09/2011,1.85082,
30/06/2011,1.58633,
31/03/2011,1.21457,
31/12/2010,1.05675,
30/09/2010,1.29683,
30/06/2010,1.55557,
31/03/2010,1.77697,
31/12/2009,1.50952,
30/09/2009,0.72518,
30/06/2009,0.72014,
31/03/2009,0.76246,
31/12/2008,1.13783,
30/09/2008,2.04398,
30/06/2008,2.2141,
31/03/2008,2.16974,
31/12/2007,2.40339,
28/09/2007,2.10233,
29/06/2007,1.98727,
30/03/2007,2.37699,
29/12/2006,2.3156,
29/09/2006,2.606,
30/06/2006,2.59578,
31/03/2006,2.16793,
30/12/2005,2.28088,
30/09/2005,2.19327,
30/06/2005,2.08637,
31/03/2005,2.25561,
31/12/2004,2.06626,
30/09/2004,1.94909,
30/06/2004,2.11006,
31/03/2004,1.86049,
31/12/2003,1.63711,
30/09/2003,1.46463,
30/06/2003,1.52708,
31/03/2003,1.7689,
31/12/2002,1.76888,
30/09/2002,2.4357,
28/06/2002,1.59333,
29/03/2002,1.44851,
31/12/2001,1.73873,
28/09/2001,1.2167,
29/06/2001,2.0922,
30/03/2001,1.93247,
29/12/2000,1.87109,
29/09/2000,1.85003,
30/06/2000,1.74211,
31/03/2000,1.90087,
31/12/1999,1.4396,
30/09/1999,1.43142,
30/06/1999,1.39799,
31/03/1999,1.14446,
31/12/1998,1.35367,
30/09/1998,1.20677,
30/06/1998,0.97968,
31/03/1998,1.24405,
31/12/1997,1.45213,
30/09/1997,1.62052,
30/06/1997,1.96809,
31/03/1997,1.93718,
31/12/1996,1.8604,
30/09/1996,1.90331,
28/06/1996,1.85405,
29/03/1996,1.95913,
29/12/1995,2.14479,
29/09/1995,2.14862,
30/06/1995,2.09232,
31/03/1995,2.19992,
30/12/1994,2.17805,
30/09/1994,2.19273,
30/06/1994,2.26514,
31/03/1994,2.39727,
31/12/1993,2.46314,
30/09/1993,2.79314,
30/06/1993,2.88233,
31/03/1993,2.69957,
31/12/1992,2.79511,
30/09/1992,2.65642,
30/06/1992,3.01239,
31/03/1992,3.28888,
31/12/1991,3.48437,
30/09/1991,3.4282,
28/06/1991,3.46816,
29/03/1991,3.65164,
31/12/1990,4.03196,
28/09/1990,4.35817,
29/06/1990,4.07333,
30/03/1990,3.97787,
29/12/1989,3.67544,
29/09/1989,3.75086,
30/06/1989,4.21632,
31/03/1989,4.57854,
30/12/1988,4.6275,
30/09/1988,4.48119,
30/06/1988,4.27473,
31/03/1988,3.995,
31/12/1987,3.61664,
30/09/1987,3.44748,
30/06/1987,3.16095,
31/03/1987,2.82551,
31/12/1986,3.19712,
30/09/1986,3.19309,
30/06/1986,3.47483,
31/03/1986,3.62148,
31/12/1985,3.95983,
30/09/1985,4.12078,
28/06/1985,4.04195,
29/03/1985,4.19135,
31/12/1984,4.10092,
28/09/1984,3.74,
29/06/1984,4.44556,
30/03/1984,4.42051,
30/12/1983,4.25315,
30/09/1983,5.12607,
30/06/1983,5.00594,
31/03/1983,5.56019,
31/12/1982,5.82832,
30/09/1982,6.06942,
30/06/1982,6.54473,
31/03/1982,6.95232,
31/12/1981,7.718,
30/09/1981,8.42797,
30/06/1981,8.9019,
31/03/1981,9.07151,
31/12/1980,9.64735,
30/09/1980,9.51302,
30/06/1980,8.94821,
31/03/1980,9.34951,
31/12/1979,7.97832,
28/09/1979,7.52055,
29/06/1979,7.36415,
30/03/1979,6.76844,
29/12/1978,6.88827,
29/09/1978,6.73647,
30/06/1978,6.55619,
31/03/1978,6.35314,
30/12/1977,6.4823,
30/09/1977,6.45117,
30/06/1977,6.64319,
31/03/1977,6.29301,
31/12/1976,5.86239,
30/09/1976,6.15768,
30/06/1976,5.93742,
31/03/1976,6.0739,
31/12/1975,6.67745,
30/09/1975,7.15748,
30/06/1975,8.48877,
31/03/1975,9.93721,
31/12/1974,10.04323,
30/09/1974,9.17688,
28/06/1974,7.72349,
29/03/1974,6.30276,
31/12/1973,5.11827,
28/09/1973,4.28059,
29/06/1973,3.69249,
30/03/1973,2.93917,
29/12/1972,3.05269,
29/09/1972,3.12948,
30/06/1972,2.98347,
31/03/1972,3.53778,
31/12/1971,3.74816,
30/09/1971,4.59314,
30/06/1971,5.0714,
31/03/1971,4.96959,
31/12/1970,4.95876,
30/09/1970,4.61811,
30/06/1970,4.62011,
31/03/1970,4.64141,
31/12/1969,4.74919,
30/09/1969,4.64747,
30/06/1969,4.62502,
31/03/1969,4.63455,
31/12/1968,4.72117,
30/09/1968,4.56634,
28/06/1968,4.43898,
29/03/1968,4.03289,
29/12/1967,3.15628,
29/09/1967,3.0986,
30/06/1967,2.87571,
31/03/1967,3.08309,
30/12/1966,3.06052,
30/09/1966,2.62356,
30/06/1966,2.23437,
31/03/1966,1.55071,
31/12/1965,1.46093,
30/09/1965,1.32922,
30/06/1965,1.196,
31/03/1965,1.16314,
31/12/1964,1.2759,
30/09/1964,1.40811,
30/06/1964,1.49776,
31/03/1964,1.72937,
31/12/1963,1.6687,
30/09/1963,1.30456,
