Date,Actual Economic Release Values
26/09/2025,2.9
29/08/2025,2.9
31/07/2025,2.8
27/06/2025,2.7
30/05/2025,2.5
30/04/2025,2.6
28/03/2025,2.8
28/02/2025,2.6
31/01/2025,2.8
20/12/2024,2.8
27/11/2024,2.8
31/10/2024,2.7
27/09/2024,2.7
30/08/2024,2.6
26/07/2024,2.6
28/06/2024,2.6
31/05/2024,2.8
26/04/2024,2.82045
29/03/2024,2.8
29/02/2024,2.8
26/01/2024,2.9
22/12/2023,3.2
30/11/2023,3.5
27/10/2023,3.7
29/09/2023,3.9
31/08/2023,4.2
28/07/2023,4.1
30/06/2023,4.6
26/05/2023,4.7
28/04/2023,4.6
31/03/2023,4.6
24/02/2023,4.7
27/01/2023,4.4
23/12/2022,4.7
01/12/2022,5
28/10/2022,5.1
30/09/2022,4.9
26/08/2022,4.6
29/07/2022,4.8
30/06/2022,4.7
27/05/2022,4.9
29/04/2022,5.2
31/03/2022,5.4
25/02/2022,5.2
28/01/2022,4.9
23/12/2021,4.7
24/11/2021,4.1
29/10/2021,3.6
01/10/2021,3.6
27/08/2021,3.6
30/07/2021,3.5
25/06/2021,3.4
28/05/2021,3.1
30/04/2021,1.8
26/03/2021,1.4
26/02/2021,1.5
29/01/2021,1.5
23/12/2020,1.4
25/11/2020,1.4
30/10/2020,1.5
01/10/2020,1.6
28/08/2020,1.3
31/07/2020,0.9
26/06/2020,1
29/05/2020,1
30/04/2020,1.7
27/03/2020,1.8
28/02/2020,1.6
31/01/2020,1.6
20/12/2019,1.6
27/11/2019,1.6
31/10/2019,1.7
27/09/2019,1.8
30/08/2019,1.6
30/07/2019,1.6
28/06/2019,1.6
31/05/2019,1.6
29/04/2019,1.7
29/03/2019,1.8
01/03/2019,1.9
21/12/2018,1.9
29/11/2018,1.8
29/10/2018,2
28/09/2018,2
30/08/2018,2
31/07/2018,1.9
29/06/2018,2
31/05/2018,1.8
30/04/2018,1.9
29/03/2018,1.6
01/03/2018,1.5
29/01/2018,1.5
22/12/2017,1.5
30/11/2017,1.4
30/10/2017,1.3
29/09/2017,1.3
31/08/2017,1.4
01/08/2017,1.5
30/06/2017,1.4
30/05/2017,1.5
01/05/2017,1.6
31/03/2017,1.8
01/03/2017,1.7
30/01/2017,1.7
22/12/2016,1.6
30/11/2016,1.7
31/10/2016,1.7
30/09/2016,1.7
29/08/2016,1.6
02/08/2016,1.6
29/06/2016,1.6
31/05/2016,1.6
29/04/2016,1.6
28/03/2016,1.7
26/02/2016,1.7
01/02/2016,1.4
23/12/2015,1.3
25/11/2015,1.3
30/10/2015,1.3
28/09/2015,1.3
28/08/2015,1.2
03/08/2015,1.3
25/06/2015,1.2
01/06/2015,1.2
30/04/2015,1.3
30/03/2015,1.4
02/03/2015,1.3
02/02/2015,1.3
23/12/2014,1.4
26/11/2014,1.6
31/10/2014,1.5
29/09/2014,1.5
29/08/2014,1.5
01/08/2014,1.5
26/06/2014,1.5
30/05/2014,1.4
01/05/2014,1.2
28/03/2014,1.1
03/03/2014,1.1
31/01/2014,1.2
23/12/2013,1.1
06/12/2013,1.1
08/11/2013,1.2
27/09/2013,1.2
30/08/2013,1.2
02/08/2013,1.2
27/06/2013,1.1
31/05/2013,1.1
29/04/2013,1.1
29/03/2013,1.3
01/03/2013,1.3
31/01/2013,1.4
21/12/2012,1.5
30/11/2012,1.6
29/10/2012,1.7
28/09/2012,1.6
30/08/2012,1.6
31/07/2012,1.8
29/06/2012,1.8
01/06/2012,1.9
30/04/2012,2
30/03/2012,1.9
01/03/2012,1.9
30/01/2012,1.8
23/12/2011,1.7
23/11/2011,1.7
28/10/2011,1.6
30/09/2011,1.6
29/08/2011,1.6
02/08/2011,1.3
27/06/2011,1.2
27/05/2011,1
29/04/2011,0.9
28/03/2011,0.9
28/02/2011,0.8
31/01/2011,0.7
23/12/2010,0.8
24/11/2010,0.9
01/11/2010,1.2
01/10/2010,1.4
30/08/2010,1.4
03/08/2010,1.4
28/06/2010,1.3
28/05/2010,1.2
03/05/2010,1.3
29/03/2010,1.3
01/03/2010,1.4
01/02/2010,1.5
23/12/2009,1.4
25/11/2009,1.4
30/10/2009,1.3
01/10/2009,1.3
28/08/2009,1.4
04/08/2009,1.5
26/06/2009,1.8
01/06/2009,1.9
30/04/2009,1.8
27/03/2009,1.8
02/03/2009,1.6
02/02/2009,1.7
24/12/2008,1.9
26/11/2008,2.1
31/10/2008,2.4
29/09/2008,2.6
29/08/2008,2.4
04/08/2008,2.3
27/06/2008,2.1
30/05/2008,2.1
01/05/2008,2.1
28/03/2008,2
29/02/2008,2.2
31/01/2008,2.2
21/12/2007,2.2
30/11/2007,1.9
01/11/2007,1.8
28/09/2007,1.8
31/08/2007,1.9
31/07/2007,1.9
29/06/2007,1.9
01/06/2007,2
30/04/2007,2.1
30/03/2007,2.4
01/03/2007,2.3
01/02/2007,2.2
22/12/2006,2.2
30/11/2006,2.4
30/10/2006,2.4
29/09/2006,2.5
31/08/2006,2.4
01/08/2006,2.4
30/06/2006,2.1
26/05/2006,2.1
01/05/2006,2
31/03/2006,1.8
01/03/2006,1.8
30/01/2006,1.9
22/12/2005,1.8
01/12/2005,1.8
31/10/2005,2
30/09/2005,2
01/09/2005,1.8
02/08/2005,1.9
30/06/2005,1.6
27/05/2005,1.6
29/04/2005,1.7
31/03/2005,1.6
28/02/2005,1.6
31/01/2005,1.5
23/12/2004,1.5
01/12/2004,1.5
01/11/2004,1.5
30/09/2004,1.4
30/08/2004,1.5
03/08/2004,1.5
28/06/2004,1.6
